username,rating,comment,date,developer_response
Ivu,3,Uygulama güzel fakat geliştirilebilir. Testleri çözdükten sonra kontrol etmiyor. Sadece çözmüş olarak kalıyorum. Yanlış yaptığım soruyu bana nasıl yapacağımı anlatması güzel olurdu. Fakat doğru şıkkı bile göstermiyor. Ayrıca bazı videolar açılmıyor. Geliştirilirse gerçekten çok güzel bir uygulama olacak. Teşekkürlerr 🎀,2024-11-28 22:01:01,İlginiz için teşekkür ederiz. Testleri çözdükten sonra ayrıntılı bir sonuç sayfası gelmesi gerekiyor. Sayfanın alt tarafında soruyu görebilir ve çözümünü video olarak izleyebilirsiniz. Eğer siz de bu şekilde bir sonuç ekranı gelmiyorsa mebi@meb.gov.tr mail adresine sorununuz ile ilgili ekran görüntüleri ve açıklama gönderebilirsiniz.
Baturalp Gümüş,3,"Tam ekranda soruşıkkı düzgün çalışmıyor, hikayeler bölümdeki videolar normal video olarak açılıyor, uygulama içindeki optimizasyon sorunları ve sorukalitelerindeki düşüklüğü yeni çıktığı için göz ardı edilebilir ancak hızlıca kapatılması gerektiğini düşünüyorum. Yapay zeka Hoş ancak sorular ile ilgili cevap(ders bazında) verimli değil, ayrıca iyi bir İnternet bağlantım olmasına rağmen hantal bir deneyim yaşattığını söyleyebilirim, onun dışında konu kavrama yapay zekası bayağı iyi.",2024-11-03 15:00:02,"İlginiz için teşekkür ederiz, MEBİ'yi sizlerin geri bildirimleri ile iyileştirmeye ve geliştirmeye devam edeceğiz."
Seherr,1,Denemeleri boş gösteriyor acil bu olaya bir el atın ydt yaptık 76 doğrum var fakat reading kısımlarının hepsini boş gösteriyor ve 60 doğru yazıyo 16 boş var 4 yanlış var gösteriyor fakat sistemde hata var bir işi de doğru yapın,2024-12-11 13:50:42,Denemelerde tüm kullanıcılarımızın doğru-yanlış-boş durumlarında bir sorun olmamıştır. Size özel yanlış yapıldığını düşünüyorsanız mebi@meb.gov.tr mail adresine sorununuz ile ilgili ekran görüntüsü ve açıklama gönderebilirsiniz.
Elanur Furat,3,not alırken bir anda kapanıyor ve ayarlara artıyor uygulamayı açtığımda ise direk ayarları açıyor,2024-11-07 21:14:23,İlginiz için teşekkür ederiz. Uygulamamızın güncel versiyonunu yükleyip tekrar deneyebilirsiniz.
Hawin Yüce,5,Hayatımda gördüğüm en güzel devlet destekli uygulama,2024-12-02 17:09:14,İlginiz ve yorumunuz için teşekkür ederiz.
Emirhan YILMAZ,1,Tamam iyi hoş devletimiz bir uygulama yapmış da. Soru çözemiyorum ki. Uygulama donuyor sürekli. Soru çözemiyorum. Bir dahaki soruya geçmiyo.,2024-10-28 09:58:39,İlginiz için teşekkür ederiz. Sorununuz devam ederse mebi@meb.gov.tr mail adresine sorununuz ile ilgili ekran görüntüsü ve açıklama gönderebilirsiniz.
Ebrar Kap,5,"OGM Materyallerine ulaşabileceğimiz bir uygulamanın oluşturulmasına çok sevindim. Konu anlatım videolarını beğendim, az öz ve kaliteli. Teşekkür ederiz.",2024-10-27 22:35:50,İlginiz ve yorumunuz için biz teşekkür ederiz.
drahonxx 2,5,Durumu olmayanlar için yardımcı olabilir. Yeni olmasına rağmen hatalar baya az. Onlar da zamanla düzeltilecektir.,2024-10-26 17:04:23,"Teşekkürler, sizlerin geri dönütleriyle MEBİ'yi sürekli geliştirmeye ve iyileştirmeye devam ediyoruz."
Beyza,5,Ücretsiz ve kaliteli ders uygulaması,2024-10-28 17:37:31,İlginiz ve yorumunuz için teşekkür ederiz.
Mustafa Karatel,5,Yeni oldugu için mi bilmiyom ama ulhulama iyi ancak ders notları nerede ? Ben bulamadım ama ulgulama acayip iyi olmuş🥰❤️,2024-10-25 18:36:20,"Teşekkürler, sizlerin geri dönütleriyle MEBİ'yi sürekli geliştirmeye ve iyileştirmeye devam ediyoruz."
Nesibe Semizoğlu,3,"Çalışma planına ders ekleyemiyorum mobilden nasıl ekleyebileceğimi de bulamıyorum. Köşedeki soru işaretine tıkladığımda hata veriyor, yüklenmiyor.",2024-10-23 17:48:43,"İlginiz için teşekkür ederiz. Mobilden yaklaşık 3 saniye ders ismine basılı tuttuğunuzda dersi tabloya sürükleyebilirsiniz. Yeni güncel versiyonu, sizleri bu konuda uyaracak şekilde düzenlenmiştir."
ایلیا سلیمانی,5,"Uygulama genel olarak çoğu konuda başarılı olsa da dikey modda kullanıldığında bazı yazım sorunları görünüyor, KANKA'yi kullanmadım ama uygulamanin yapay zeka kullanmasi çok hoşuma gitti umarım diğer uygulamalara da eklenir , asiri göze çarpan tek sey bazı kısımlarda ""içerik bulunmuyor"" yazısının olmamasi ve dikey kullanım için tasarlanması, ama ona rağmen oldukça başarılı bir uygulama , umarım daha da gelişip tüm kardeşlerime yardımcı olur",2024-10-22 18:58:08,Sizlerin geri dönütleriyle MEBİ'yi sürekli geliştirmeye ve iyileştirmeye devam ediyoruz. 9. sınıf içerikleri yıllık plana göre yüklenmeye devam edecektir.
elif,5,Güzel başarılı bir uygulama olmuş.Ama muhtemelen yeni olduğu için olacak ki eksik içerikler var. Umarım düzeltilir.,2024-10-20 13:50:59,"Teşekkürler, sizlerin geri dönütleriyle MEBİ'yi sürekli geliştirmeye ve iyileştirmeye devam ediyoruz."
Yusuf Özcan,3,Guzel bir uygulama olmus tebrik ediyorum severek kullaniyoruz,2024-10-23 15:08:23,İlginiz ve yorumunuz için teşekkür ederiz.
Egemen,1,Eğitim sistemini değiştirmenize bunu yapcaniza a.,2024-10-24 20:00:15,Sizlerin geri dönütleriyle MEBİ'yi sürekli geliştirmeye ve iyileştirmeye devam ediyoruz. MEBİ Türkiye Yüzyılı Maarif Modeli’ne uygun olarak içerikler sunmaktadır.
Zeynep Akbak,2,testlerde cevapların yerlerini değiştirip yanlış gösteriyor. işaretlemeye bazen izin de vermiyor. konular tyt/ayt yerine sınıflar ve tyt / ayt olarak konulmalı. arayüz çok yavaş.,2025-01-30 20:34:58,İlginiz için teşekkür ederiz. Sizlerden gelen geri bildirimlerle uygulamamızı geliştirmeye devam ediyoruz. Belirttiğiniz sorunları mebi@meb.gov.tr mail adresine sorununuz ile ilgili ekran görüntüsüyle ve detaylı açıklamalarıyla birlikte gönderebilirsiniz.
Marie Curie,4,Uygulama çok güzel ama sunucular sürekli bakımda. Gece ders çalışırken sunucular bakımda oluyor diye gündüz çalışayım dedim şu anda saat 10.20 ama yine sunucular bakımda. Günün hangi saatlerinde bakım yapılacağına dair bir duyuru ekranı koyarsanız biz de ona göre ayarlarız saatimizi. Onun dışında emeğinize sağlık uygulama gerçekten çok güzel ve öğretici.,2025-03-18 10:20:34,Olumlu geri bildiriminiz için teşekkür ederiz! 😊 Sunucu bakım süreleriyle ilgili daha iyi bir bilgilendirme sağlamak adına önerinizi dikkate alacağız. Kesintisiz bir deneyim sunmak için çalışmalarımız devam ediyor. Anlayışınız ve desteğiniz için teşekkür ederiz!
Arda,2,Mobilde uygulama beyaz arayüz üstünde linkler var gibi gözüküyor. Kankaya soru soramıyorum. Benim telefonumla mı alakalı bilmiyorum ama şuanda neredeyse hiçbirşey kullanamıyorum.,2024-10-25 10:40:00,"İlginiz için teşekkür ederiz. Bizden kaynaklı olmayan veri merkezi erişim sorunu, veri merkezi ile görüşülerek kısa sürede çözülmüştür."
Neslihan Bayrak,5,Çok güzel bir uygulama hiç bir sıkıntısı yok emeği geçenlere teşekkürler.,2024-10-29 18:38:31,"Teşekkür ederiz, MEBİ'yi sizlerin geri bildirimleri ile iyileştirmeye ve geliştirmeye devam edeceğiz.
"
HEYMEN,1,Hoca indirtiyor,2024-11-22 10:05:01,"Uygulamamız, derslerinizdeki kazanımları gerçekleştirmenizde katkısı olması amacıyla hazırlanmıştır. Uygulamamızı kullandığınız da bunu görebilirsiniz."
Rümeysa,5,Çok güzel olmuş,2024-12-05 11:58:45,İlginiz için teşekkür ederiz.
olmama olmamaa,5,cok kot,2025-02-10 09:08:15,Lütfen daha ayrıntılı yazarak MEBİ'yi geliştirmemize yardımcı olunuz.
