username,rating,comment,date,developer_response
Davut Köseoğlu,5,Uygulamanın bana kalırsa en iyi yanı YKS'ye çalışan bi öğrenci olarak zaman açısından you tube daki hocalardan kısa anlatıyor oluşu ve konu değerlendirme testleri çok başarılı insanı yormuyor keşke pdfleri indirmeye izin verse Doping hafıza kullanmak isteyen ama para harcamak istemeyenler bence bu da onun kadar hatta daha başarılı yeni çıkmış olmasına rağmen kullanmalısınız.,2025-03-12 19:53:50,"İlginiz için teşekkür ederiz. Pdf formatındaki dosyalarımızı indirebilirsiniz. ""YKS Hazırlık"" modülündeki ""Kitap ve Denemelerim"" sayfasının altında çıkmış sorulara, konu özetlerine, denemelere, testlere, kitaplara ulaşabilirsiniz. Burada birçok kaynak mevcuttur. Burada bulunan pdf formatındaki dosyaları indirebilirsiniz."
Ege İnci,5,"Gece yarısı sunucular bakıma alınmadan önce bildirim veya uygulamaya girdiğimizde uyarı verse çok daha iyi olur.Bunun dışında herşey çok iyi ,konuya çalışıp ardından buradaki kısa videolarla özetleyip sorular çözünce bir daha o konuyu tekrar çalışmam gerek kalmıyor. Bu son güncelleme ile eklenen çıkmış sorular süper olmuş.",2025-03-13 20:45:57,İlginiz ve yorumunuz için teşekkür ederiz. Mecbur kalmadıkça yoğunluğun az olduğu zamanlarda güncelleme yapmaya çalışıyoruz. Belirttiğiniz gibi gece saatlerini tercih ediyoruz. O saatlerde bildirim göndererek kimseyi rahatsız etmekte istemeyiz. Yine de çalışma zamanınıza denk geldiyse anlayışla karşılayacağınıza inanıyoruz.
H D,4,çıkmış sorular çok güzel ancak kaydedilmiyor yani çözdüğüm kısımlar siliniyor tekrar yanlışlarıma bakamıyorum ayrıca tüm derslerin bir arada olması yerine ders ders ayırsanız daha iyi olur bununla ilgili bir güncelleme gelebilir birde not tutabileceğimiz bir alan çok kullanışlı olur kütüphanemiz olsa ve oraya istediğimiz kaynağı kaydedip baksak daha kolay olur,2025-03-23 18:17:36,Merhaba önerilerinizi değerlendireceğiz. Ancak bir öneriniz zaten MEBİ'de yer alıyor. Kitap ve Denemeler bölümünde yer alan kitaplar etkileşimli halde çıktı almadan soruları çözebilir ve sonuçlarınızı testi bitir seçeneğine tıklayarak görebilirsiniz.
Emir Selim Kurultay,5,"İnternet sitesini kullanıyordum, giriş yapamadığım için uygulamayı indirdim, platformda bakım varmış. Mobil olarak kullanmadım ama içeriklerden memnunum genel olarak işime fazlasıyla yarıyor",2025-03-18 10:28:00,"Geri bildiriminiz için teşekkür ederiz! 😊 Platformumuzu daha kullanışlı hale getirmek için çalışmalarımız devam ediyor. Bakım süreçlerini en aza indirmeye ve kesintisiz bir deneyim sunmaya çalışıyoruz. İçeriklerden memnun olmanıza sevindik, başarılı çalışmalar dileriz!"
Berra qwerty,5,Gercekten ihtiyacimiz olan bir uygulamaydi.Testler bence biraz daha arttirilabilir.Onun disinda bu projeyi gelistirmek icin adim atan bakanliga ve ekibe sonsuz tesekkurler:),2025-03-17 13:03:16,"İlginiz ve yorumunuz için biz teşekkür ederiz. ""YKS Hazırlık"" modülündeki ""Kitap ve Denemelerim"" sayfasının altında denemelere, testlere, kitaplara, konu özetlerine ulaşabilirsiniz. Burada birçok kaynak mevcuttur. Bu modülümüzdeki sorulardan da yararlanabilirsiniz."
Kibar,2,"Arayüz kötü, daha renkli ve güzel bir arayüz hazırlanmalı, neyin nerde olduğu brlli değil herşey karmaşık. Yapay zeka rezalet, sanki iyi bir düzeyde gelişmiş yapay zeka ile değil 5-6 yıl öncesinden kalmış bir yapay zekqyla konuşuyirmuşum gibi. İçerisindeki içerik bolluğu inanılmaz ama mağlesef anlattığım sebeplerden dolayı verimli olarak kullanmak çok zor.",2025-03-11 09:59:06,Uygulamamızın arayüzü gayet anlaşılır olmasına karşın arayüzümüz de değiştirme çalışmalarımız devam etmektedir. Kanka yapay zeka modelimizi de geliştirmekteyiz.
Esra,5,"Konu anlatımları, soru çözümleri gayet başarılı. güncellemelerden sonra daha iyi duruma gelmiş. ilerleme raporlarından ilerlememi görmek, başarı durumunu takip etmek motive etme açısından iyi oluyor. Emeği geçenlere teşekkürler",2025-02-20 09:14:54,İlginiz ve yorumunuz için biz teşekkür ederiz.
Doruk Sert,5,"Gerçekten harika bir öğrenci dostu uygulama olmuş. Bu uygulamayı çok başarılı buldum. Daha yeni bir uygulama olduğu için fazla kapsamlı değil ama ileride daha kapsamlı olacağına inanıyorum. Şu anlık bir hata bulamadım. Gayet güzel, emeği geçen herkesi tebrik ediyorum.",2025-03-04 07:37:29,İlginiz ve yorumunuz için teşekkür ederiz.
Kerim Sabri,5,Gerçekten çok yararlı bir uygulama. İçinde konu özetleri pdf'ler ve videolar var konu analizleri de var ve bu gerçekten çok artı Bir yön sadece tek bir eksik paragraf soru bölümü yok çıkmış sorular gelse çok iyi olur Çok yararlı bir uygulama öneriyorum 👍 Fark etmemiş ama oda varmış,2025-02-13 19:38:01,"İlginiz ve yorumunuz için teşekkür ederiz. ""YKS Hazırlık"" modülündeki TYT sayfasında Türkçe dersinde paragrafla ilgili konu anlatımı ve sorular mevcuttur. Ayrıca paragrafla ilgili çıkmış sorular da yer almaktadır. Dilerseniz ""YKS Hazırlık"" modülündeki ""Kitap ve Denemelerim"" sayfasının altındaki kitaplardan da yararlanabilirsiniz."
Said M,5,"Uygulama başarılı. Rica etsem videolara görüntü kalitesi seçme özelliğini getirebilir misiniz? Bazen İnternet yavaş olunca videolar geç yükleniyor. 360p, 480p gibi çözünürlükler getirilirse çok güzel olur.",2025-02-16 14:08:17,
Fatih Yıldız,3,Normalde 5 yıldız vericektim ama niyeyse konu özeti bölümünü açamıyorum. Dosya indirme hatası diyor. Her konu özeti için olmuyor. Sildim yeniden yükledim ama olmuyor kesinlikle. Ayrıca videoda çok kolay seviye anlatılıyor bu güzel ama sorular çok zor. soruları ayarlayın bence hepsi çok zor geliyor videolara göre. Ve kanka da Soru sorunca anlamadım diyor yada alakasız şeyler çıkarıyor karşımıza. Uygulama çok iyi ama bu tür düzeltilmesi gereken şeyleri var. Ve konu özetlerini nasil açacağım yardım,2025-01-22 00:42:08,İlginiz ve yorumunuz için teşekkür ederiz. Uygulamayı güncellerseniz pdf dosyalarını indirebilirsiniz. Konu özetlerinin indirilme özelliği yakında gelecektir. Testlerimiz adaptif testlerdir. Verilen cevaba göre zorluğu değişebilmektedir. Zorlandığınız sorular olursa eski konuları tekrar edebilirsiniz. Kankayı geliştirme çalışmalarımız devam ediyor.
Muhammed ali İskender,5,"Uygulama çok ama çok güzel, fakat getirilmesi gereken güncellemeler var. Mesela, uygulama optimizasyonu daha iyi olabilir. Arayüzde takılmalar yaşanabiliyor. Eğer bunlar giderilirse, çok ama çok iyi olur.",2025-02-28 19:22:16,İlginiz teşekkür ederiz. Sizlerden gelen geri bildirimlerle uygulamamızı ve içeriklerimizi geliştiriyoruz.
Onur Türkaslan,1,"9.sınıfım ve bu uygulamadan hiç memnun değilim. Video eklemişsiniz ama sadece ders kitabındaki yazıların aynıları okunuyor. Zaten ders kitaplarında bir şey yazmıyor, bari videolara yeni şeyler ekleseydiniz. Etkinlikler deseniz konuyu öğretmeye dayalı hiç bir etkinlik yok, kalitesiz kalitesiz etkinlikler. Bir yıldızı bile hak etmeyen bir uygulama olduğunu düşünüyorum. Anlaşılan yıllardır olduğu gibi YouTube videoları izleyerek konuları anlamaya çalışmaya devam edicez.",2025-02-22 17:03:56,
Özgür İpteş,2,Eba kadar kötü olmasada yinede kötü uygulamada çok fazla hata var en ufak yazım yanlışında ya da sırf küçük harf kullandınız diye yanlış diyor kesinlikle geliştirilmeli ve böyle eksik bir uygulamanın zorunlu yapılması bence saçmalıktır.,2025-02-27 21:15:11,Sizlerden gelen geri bildirimlerle uygulamamızı geliştirmeye devam ediyoruz. Belirttiğiniz durumu detaylandırabilirseniz düzeltilmesini sağlayabiliriz.
Elif Alpfidan,5,Bence çok güzel bir uygulama ve çok işe yarıyor keşke ingilizce derside olsayı daha güzel olacaktı ama yine MEB teşekür ediyorum bu yeni müfredatla 100/100 uyumlu.,2025-03-13 21:25:46,İlginiz için biz teşekkür ederiz. Uygulamamız yeni olduğu için tüm dersleri yayınlamaya çalışıyoruz. İngilizce dersi ile ilgili çalışmalarımız devam etmektedir. Çalışmalarımız bittiğinde paylaşılacaktır.
N4y0x,5,"Konu anlatımları, etkinlikler ve sorular bakımından gayet güzel. Hala geliştirilebilir. Bazı büyük güncellemeler getirilebilir. Mesela bir öğretmen canlı bir şekilde ders anlatırken sohbet aracı kullanılarak öğrenciler öğretmene soru sorabilir. Tabii bu tip bir özelliğin getirilmesi için aktif kullanıcı sayısının artması lazım. Yine de bu tarz uygulamalar olabilir. Ayrıca şu ana kadar hep tyt ayt denemesi bildirimleri aldım 9 ve 11. Sınıflara özel tyt ve ayt denemeleri getirilebilir.",2025-01-27 18:24:05,İlginiz ve önerileriniz için teşekkür ederiz. Uygulamamız yeni olduğu için sizlerden gelen geri bildirimlerle de uygulamamızı sürekli geliştirmeye devam ediyoruz.
Taksici Rakun19,3,Uygulama güzel ama şu an çok yavan halde örneğin konu başına düşen soru sayısı çok az ve yapay zekası sadece sizi sitedeki başka bir yere yönlendirmek için var yapay zekayla alakası yok onum yerine arama yeri koyulsaydı yine aynı işi görürdü yapay zekanın kesinlikle geliştirilmesi gerek ancak geliştiricileri de anlayabiliyorum eğer bir chatbota dönüştürülürse yapay zekaya uygunsuz sorular sorulmasından tutun uzun süre yapay zekayla konuşma hadiselerine kadar gider bu süreç,2025-03-16 09:49:06,"İlginiz için teşekkür ederiz. Kanka ile ilgili geliştirme çalışmalarımız devam ediyor. ""YKS Hazırlık"" modülündeki ""Kitap ve Denemelerim"" sayfasının altında denemelere, testlere, kitaplara, konu özetlerine ulaşabilirsiniz. Burada birçok kaynak mevcuttur. Bu modülümüzdeki sorulardan da yararlanabilirsiniz."
Mustafa,5,Uygulamanın yapımında emeği geçen herkese teşekkürlerimi iletiyorum. Çok başarılı ve kapsamlı bir platform olmuş. Her türlü konu anlatımı ve soru çözümü var. Emeğinize sağlık.,2025-03-05 14:21:50,İlginiz ve yorumunuz için biz teşekkür ederiz. Uygulamamızın sizin için faydalı olduğuna sevindik.
Biyolog Tuba,5,Öğretmen olarak faydalanıyorum öğrencilerime de tavsiye ediyorum. Öğrencilerin çok işine yarayacak bi uygulama olmuş. Elinize sağlık. Soruları pdf dönüştürme özelliği de olsa süper olur,2025-03-06 08:14:21,"İlginiz ve yorumunuz için teşekkür ederiz Öğretmenim. Belirttiğiniz testlerimiz adaptif(sabit değil) testlerdir. Yani öğrencinin verdiği yanıta göre zorluk durumu değişmektedir. Sabit testler olmadığı için pdf formatında sunamıyoruz. Dilerseniz ""YKS Hazırlık"" modülündeki ""Kitap ve Denemelerim"" sayfasında birçok soru ve anlatımlara ulaşabilirsiniz."
Sertan Çubukcu,5,Kişinin kendi hızına göre öğrenebildiği güzel bir dijital uygulamadır. Soru kalitesini beğendim. İçerisine oyunlaştırma da eklenebilirse çok iyi olur.,2025-03-04 16:03:47,"İlginiz ve yorumunuz için teşekkür ederiz. ""Okul Dersleri"" modülümüzdeki çou konumuzda ""Etkinliklerle Öğren"", ""Model Animasyon Simülasyon"" ve ""Oynayarak Öğren"" gibi bahsettiğiniz oyunlaştırma ve görselleştirme gibi bölümlerimiz mevcuttur."
Onur Erdal,4,Bence çok güzel ve kullanışlı bir uygulama ama bence biraz daha iyi olabilir mesela knk ve denemeler girilmiyor doping hafıza gibi ben tavsiye ediyorum mm çok güzel gercekten konu anlatımları da çok güzel özetler değerlendirme testleri felsn mükemmel,2025-02-18 16:29:06,İlginiz ve yorumunuz için teşekkür ederiz. Kanka ile ilgili geliştirme çalışmalarımız devam etmektedir. Denemelere girmekte bir sorun olmaması gerekiyor ama yine de böyle bir durumla karşılaşırsanız mebi@meb.gov.tr mail adresine sorununuz ile ilgili ekran görüntüsüyle ve detaylı açıklamalarıyla birlikte gönderebilirsiniz.
ALİBO_ran Akbulut,4,Uygulama güzel denemeler vesaire iyi ama konu anlatım videolarında bazı bilgiler eksik. Mesela biyoloji dersinde tek hücreli canlıların nasıl boşaltım yaptıklarını anlatırken çok hücreli canlıların nasıl boşaltım yaptığı anlstılmamış. Birde videolar çok sıkıcı bu hatalar düzeltilirse daha kullanışlı olur.,2025-01-22 15:06:58,İlginiz için teşekkür ederiz.
Zeynep zişan Oğuz,4,"ÖSYM MEB bazlı soru hazırladığı için kesinlikle kullanılması gerektiğini düşündüğüm bir uygulama arayüz genel olarak iyi konu özetleri güzel ama konu anlatımları pek iç açıcı değil geliştirilmesi gerek bide kitap ve denemeleri aynı konu soruları çözer gibi çözebilmek iyi olurdu, kalem özelliği biraz sıkıntı geliştirilebilir emeği geçenlere teşekkür ederiz 💗",2025-01-22 02:59:24,İlginiz için biz teşekkür ederiz. Sizlerden gelen geri bildirimlerle uygulamamızı geliştirmeye devam ediyoruz.
Muharrem Yilmaz,3,"Merhaba. Ben bir görme engelli kullanıcıyım ve öğretmenim bu uygulamayı cihazıma indirmemi istedi, ancak karşılama ekranını ekran okuyucumla geçemiyorum. Görme engelliler için sadece karşılama ekranında bir mesaj var ve sonra tıklasam da, başka herhangi eylemde bulunsam da herhangi biçimde uygulamaya giriş yapamıyorum. Erişilebilirliği üzerinde çalışılması ve bu doğrultuda bir güncelleme yayınlanmasını talep ediyorum ve çalışmanız da başarılar dilerim.",2025-02-05 21:47:10,İlginiz ve yorumunuz için teşekkür ederiz. Görme engelli kullanıcılarımız için yapmayı planladığımız çalışmalarımız vardır. İleriye yönelik olarak bu konu üzerinde güncellemeler yapılacaktır. Biz de sizlere başarılar dileriz.
ASKER OYUNCU,3,Uygulama verimlilik tarafından ders proğramı açısından çok güzel ama ben sorun bildirmek istiyorum ses butonları bozuk olunca ekran fotosu almak için 3 parmak çekmem lazım bunu yapınca uygulama kafayı yiyor alta basıyorum video başlatiyor herkeste oluyomu banami özel anlamadım ama bunu duzeltirseniz on numara,2025-02-27 23:52:12,İlginiz için teşekkür ederiz. Belirttiğiniz durumu test ettiğimizde bir sorunla karşılaşmadık. Farklı bir cihazda deneme imkanınız varsa aynı hatayı onda da alıyorsanız bize bildirebilirsiniz. Cihaz üzerinden ekran görüntüsü alamıyorsanız farklı bir cihazla da ekranın fotoğrafını çekip de gönderebilirsiniz.
SERKAN ZAFER,5,"Kesinlikle öğrenciler için mükemmel bir uygulama olmuş emeği geçen herkese teşekkür ediyorum. Bir sorum var sadece uygulama bilgisayarlara uyumlumudur , uyumluysa nereden yükleyebiliriz . Cevaplarsanız sevinirim tekrardan uygulamada emeği geçen herkese teşekkürler.",2025-02-10 20:52:03,"İlginiz ve yorumunuz için biz teşekkür ederiz. Uygulamamız bilgisayarlarda da çalışmaktadır ve ayrıca bir uygulama indirmenize de gerek yoktur.
https://mebi.eba.gov.tr/
Bu internet adresinden giriş yaparak uygulamamızı bilgisayarınızda da kullanabilirsiniz. Biz de tekrardan ilginiz için teşekkür ederiz."
Efkan PELTEK,1,Çok kötü bir uygulama yarıdan fazlası daha bitmemiş soru soruyor sen cevabı söylesende yanlış diyor yazıya çok fazla odaklı videolar yavaş tavsiye etmiyorum ama lgs gibi yks gibi sınavlara hazırlananlar için kullanmalarını öneririm bazı sorularda kontrol etme tuşu yok bazılarında yapmadan geçemessin diyor.bence iğrenç bir uygulama denemeyin bile. Daha taramalar kısmı eklenmemiş eba bile daha iyiydi bana göre,2025-01-05 15:24:57,Uygulamamız yeni olduğu için bazı eksik kısımları bulunmaktadır. Karşılaştığınız sorunları detaylandırıp ekran görüntüleriyle mail olarak gönderirseniz düzeltme yoluna gidebiliriz.
Ayberk Efe Turan,4,OGM'yi kutluyorum. Konu tekrarı açısından çok başarılı. Konu anlatımları biraz daha canlı bir şekilde yapılırsa daha iyi olur . Öğretmenler videolarda kağıttan okuyup geçiyorlarmış gibi duruyor.,2025-02-11 22:55:48,İlginiz için teşekkür ederiz.
Sıla Çalışır,2,"yetenek sınavına dair hiç bir şey yok yine görmezden geliniyoruz en bilinen gsf fakültelerini bile eklememişler Sadece genel alanlara yönelik -ea, tm gibi- içerikler var yetenek sınavlarına yönelik ek kaynak üretmek ya da eklemek zor olsa bile ""hedef belirle"" kısmında yetenek sınavıyla alan üniversteleri ekleyebilmek isterim. Msgsü resim, hacettepe resim, ankara üniversitesi konservatuar gibi. Teşekkür ederim umarım dikkate alınır.",2025-02-10 13:47:23,Yorumunuzu detaylandırabilirseniz sağlıklı bir şekilde cevaplandırıp çözmeye çalışabiliriz.
Deniz Günel (:O),3,Program her yıl çıkarılan ve ilgi çekmeyen diğer uygulamaları gibi ama konu anlatımı ve deneme takibi olarak başarılı. Ayrıca yapay zakelı destek asistanı sorulara cevap verirken hata verip duruyor.,2025-02-12 20:36:19,İlginiz için teşekkür ederiz. Sizlerden gelen geri bildirimlerle uygulamamızı geliştirmeye devam ediyoruz. Kanka ile ilgili geliştirme çalışmalarımız devam etmektedir.
Sevim Sayar,5,Bence bir 11.sınıfa göre ve güzel bir puan çıkarmak isteyenler için güzel.ve öğretiyor tavsiye ederim. Sayısal derler biraz zor geliyordu bana ama video desteğiyle artık öyle bir sıkıntım kalmadı🙂,2025-01-29 20:21:23,İlginiz ve yorumunuz için teşekkür ederiz. Uygulamamızın sizin için faydalı olduğuna sevindik.
Utku Saltık,4,"Bu uygulama için milli eğitim bakanlığına, OGM Materyal'e çok teşekkür ederim bu uygulama bana fayda sağladı yalnız tek bir sorun vardı: Deneme girerken tam denemeyi yapayım derken bazen meşgul olduğumdan dolayı çıkıp daha sonra tekrar girerim derken online deneme otomatik olarak kendi kendine sonlandırıyor sonrasında ben sonuçlara baktığımda 0 net yazdırıyor ve bu durumda kendimi mağdur etmiş oluyorum artık güncelleme mi geliyor lütfen bu sorunu çözün 1 ★ kırdım sırf bu mağduriyetimden dolayı!",2025-01-24 18:06:40,İlginiz için teşekkür ederiz. Denemelerimiz Türkiye geneli olduğundan ve gerçek sınava yakın bir ortam oluşturulması gibi durumlardan dolayı sınava başladıktan sonra süreyi durdurmuyoruz. Sınav sonunda bireysel sıralamaların sağlıklı olması için de süre devam etmektedir. Tüm işlerinizi hallettikten sonra sınava başlayabilirsiniz.
Medine Halil,5,Uygulama güzel ama denemelerde tarih sınırlandırılması bana uymadı onun dışında hiç sorun yok. Gayet geliştirici ve adım adım konular sıralanmış. Kolay orta zor diye olmasıda gayet iyi.,2025-02-04 23:52:18,İlginiz ve yorumunuz için teşekkür ederiz. Sonuçların-sıralamaların açıklanması ve diğer işlemlerin yapılabilmesi için belli tarih aralığında deneme sınavlarımızı yapıyoruz. Diğer deneme sınavlarının tarihleri bellidir. Umarız bu tarihler size uyar.
gucir,5,sayın meb yetkilileri sizlerden bir ricam olacak uygulama inanilmaz iyi tek bir sıktıntısı var konu özetlerini lütfen indirebilelim özellikle biyoloji ve türkçe için çok gerekli akıllı cihazların sarjı her zaman olmuyor ve uzun süre akıllı cihaz göz yoruyor konu özeti denmiş ama konuyu gayet kapsamlı ve eksiksiz anlatiyorsunuz tek istegim konu özetlerini indirmek tekrardan elinize saglik,2025-01-13 18:30:25,İlginiz için teşekkür ederiz. Konu özetlerini kitap haline getirip yayınlayacağız. Yakın zamanda konu özetleri dosyalarına indirilme özelliği getirilmesi planlanmaktadır.
Zeynep,4,Hata çok oluyor kanka da düzgün çalışmıyor. İnternet çektiği halde İnternet yok hatası oluyor ayrıca program kısmı düzgün çalışmıyor açılmıyor. Ama en büyük sorun kanka'da,2025-01-23 17:00:51,Uygulamamızın güncel versiyonunu indirip deneyebilirsiniz. Belirttiğiniz hatalar devam ediyorsa bize e-posta gönderebilirsiniz. Kanka ile ilgili geliştirme çalışmalarımız devam etmektedir.
Zeynep Kader,3,"Öneriler: Konu anlatımları biraz daha akılda kalıcı olabilir , 9.Sınıflar da Konu Tarama Testleri bölümü boş onlar doldurulabilir, öğrencilerin eksik olduğu dersler belirlenip ne çalışacakları belirlenip ders programları hazırlanabilir, Öğrenme içeriği az, Testler ise hep aynı sorulardan oluşuyor.",2025-01-21 10:26:21,İlginiz ve yorumunuz için teşekkür ederiz. Uygulamamız yeni olduğu için bazı eksiklikleri olabilir. Zamanla bu eksiklikler giderilecektir. Sizlerden gelen geri bildirimlerle uygulamamızı geliştirmeye devam ediyoruz.
